time (s),friction coefficient,time (ms),SEP_300,FIM_300,SEP_500,FIM_500,SEP_1000,FIM_1000
0.40927875807284714,0.2710475240015798,409.27875807284715,0.00076284947,3932.369656762148,0.001850961161,1064.043135382734,,
0.41058656598394977,0.271985987118969,410.58656598394975,0.000773887242,3870.235138549369,0.001778259314,1047.666642759006,,
0.41189388317444015,0.272030596569192,411.89388317444013,0.000788569624,3795.431445755936,0.001808016907,1041.143870427863,,
0.41320141826928763,0.2716956825329153,413.2014182692876,0.000799680691,3741.655646294652,0.001835126266,1040.314296226809,,
0.4145091172282117,0.27096977194055144,414.5091172282117,0.000811088305,3686.394852553579,0.001844721474,1038.962898177382,,
0.41581659828277867,0.27023240913700497,415.81659828277867,0.000819978178,3655.152928045238,0.001837327298,1036.122785198955,,
0.41712429724170275,0.26996452070249927,417.1242972417027,0.000828177387,3624.277109980791,0.001846588992,1093.799694772202,,
0.41843205024090735,0.26897014089836896,418.43205024090736,0.000833936641,3640.421890412583,0.001838957982,1078.614298890449,,
0.41973958533575484,0.26813343224984726,419.73958533575484,0.000839980141,3616.493343493137,0.001830574475,1060.596875883238,,
0.42104701147842377,0.26763074567374223,421.04701147842377,0.000847931241,3586.761995264435,0.001802344646,1054.815908337048,,
0.4223544376210927,0.26661428214930205,422.3544376210927,0.000850574459,3577.040939022369,0.001812344715,1048.779416183989,,
0.4236620276278382,0.26463539502477046,423.6620276278382,0.000854487189,3539.397676547086,0.001805418246,1044.147616252018,,
0.42496961763458374,0.2658002202392074,424.96961763458376,0.000860916913,3535.246277396671,0.001815015362,1041.778965247552,,
0.42627677183261503,0.26381059933308537,426.27677183261505,0.000869261964,3511.57164423219,0.001825528366,1038.297776003963,,
0.427584252887182,0.261081211364913,427.584252887182,0.000921575337,3156.790131239487,0.001800819608,1028.99856879702,,
0.4288918428939275,0.26172341220518225,428.8918428939275,0.000922111477,3222.845723701466,0.001793151176,1024.777020949507,,
0.430199377988775,0.2589935899480775,430.199377988775,0.000938391345,3111.413826635434,0.001786528398,1018.395159513833,,
0.4315069679955205,0.25795527825715486,431.50696799552054,0.000945537043,3110.408525266354,0.001760324686,1012.187990152055,,
0.4328144490500875,0.2580958678560793,432.8144490500875,0.000950228278,3145.974030352839,0.001772021887,1009.490771405511,,
0.4341217122002973,0.2555906020969787,434.12171220029734,0.000956189518,3154.35094476762,0.001764801792,1005.420166315958,,
0.4354294111592214,0.25404922654163153,435.4294111592214,0.000949440134,3130.778320889654,0.001758742601,997.988702705935,,
0.43673689221378836,0.25247705246981306,436.73689221378834,0.000972279948,3041.019563611329,0.00173309754,992.680069495078,,
0.4380444822205339,0.2502474512175985,438.0444822205339,0.001009500755,2780.06022873478,0.00172781234,984.648006108562,,
0.4393522352197385,0.2491482212763228,439.3522352197385,0.001058990875,2525.832586481292,0.001742453347,976.81377172775,,
0.44065993417866256,0.24759696624710895,440.6599341786626,0.001066169262,2516.552855112524,0.001737267431,970.678866403917,,
0.44196768717786716,0.2456328095142481,441.96768717786716,0.001026571853,3107.19831751772,0.001712623518,969.655400171246,,
0.44327544017707177,0.24507875288922512,443.27544017707174,0.001036542967,3126.047849532125,0.001727668018,962.201728515271,,
0.4445830842240978,0.24303353205036493,444.58308422409783,0.00104371444,3163.573957215873,0.001723415278,960.423387635172,,
0.44589067423084333,0.2425197190861992,445.89067423084333,0.001059073436,3133.638143731887,0.001738786953,953.646828443202,,
0.44719842723004793,0.24197616863788848,447.1984272300479,0.001152526649,2345.83288144799,0.0017537064,950.372989462832,,
0.448506126188972,0.24046446722953652,448.506126188972,0.001089996029,3044.922726626436,0.001748123726,953.545109061543,,
0.44981415200443176,0.23922903113366575,449.8141520044318,0.001106371477,2995.562457596084,0.001743086828,952.187392903001,,
0.45112206886771294,0.23745946734656384,451.1220688677129,0.001122311963,2946.060177227273,0.001737962822,950.405816790996,,
0.4524299308190961,0.23987198514694935,452.4299308190961,0.001236268159,2161.579675228587,0.001751427561,953.175341558873,,
0.45373779277047926,0.23915060762476548,453.73779277047925,0.001208875436,2339.178098627116,0.001764599523,956.545372901438,,
0.45504554576968387,0.23789540240870807,455.0455457696839,0.001223826465,2406.048579359732,0.001695822067,962.247697468345,,
0.45635346263296506,0.23915060762476548,456.35346263296503,0.001207113169,2574.285787361403,0.001687493072,967.348749919795,,
0.45766121563216966,0.23766779192329446,457.6612156321697,0.001208384127,2632.334590336772,0.001699649882,973.108326246969,,
0.4589692414476294,0.23741079078573768,458.96924144762943,0.001219297288,2664.310461554334,0.001711432701,979.872468759813,,
0.4602773762152677,0.23961522591691067,460.27737621526774,0.001230309935,2590.96654285394,0.001700787176,991.773025198008,,
0.46158556502318654,0.23866605881042113,461.5855650231865,0.001270681877,2495.320349289261,0.001711182882,1000.962364183554,,
0.4628936448789268,0.2393779798156696,462.8936448789268,0.001278807444,2513.270580093528,0.001637906388,1021.711427440304,,
0.464201561742208,0.23890344673672495,464.201561742208,0.001296827348,2476.276224401817,0.001647349532,1032.797545996651,,
0.46550958755766775,0.23860738680868512,465.50958755766777,0.001297663271,2542.537055303928,0.001656566086,1044.328372008013,,
0.466817667413408,0.23717335793859637,466.817667413408,0.001309078735,2547.366260129464,0.001666034219,1056.170011046197,,
0.46812563831696974,0.23858781085356007,468.12563831696974,0.001419436578,1779.985137488695,0.001594504646,1084.949037732388,,
0.4694332823639958,0.2376385589711607,469.4332823639958,0.001415048035,1960.213976269335,0.001603064957,1097.36020925528,,
0.47074130817945553,0.23740107281833778,470.74130817945553,0.001414090754,2023.191904599954,0.001612578028,1104.86932582079,,
0.4720492250427367,0.2373621341771332,472.04922504273674,0.001390800647,2195.501114944344,0.001620736345,1118.216016420445,,
0.47335725085819647,0.2371053117899031,473.3572508581965,0.001387518147,2437.512736653092,0.001609059168,1140.549477349894,,
0.47466538562583477,0.23581117071080848,474.66538562583474,0.001398679667,2352.468236596432,0.001543607636,1201.051026030704,,
0.47597324757721793,0.23434674423791588,475.97324757721793,0.001432176621,2267.945633026589,0.001534502484,1271.552607312749,,
0.47728100057642253,0.23599069720799812,477.2810005764225,0.001412572593,2450.260013410206,0.001542708171,1275.921320196101,,
0.47858897147998425,0.2340129832786216,478.58897147998425,0.001423191536,2467.786238899339,0.001551268393,1284.076177283688,,
0.47989650657483174,0.23302380436057535,479.89650657483173,0.001439563572,2457.232306683586,0.001559884554,1262.24684774913,,
0.48120447747839346,0.2329664926167964,481.20447747839347,0.001445628261,2570.172351508305,0.001489092278,1340.904571676832,,
0.48251239434167464,0.2312632344453117,482.5123943416746,0.0014742393,2431.333768274278,0.001544801998,1299.189501994642,,
0.48382014734087925,0.2324051600813568,483.82014734087926,0.001473012182,2581.050712183715,0.001477939917,1405.244623400764,,
0.485128173156339,0.23094006155153599,485.128173156339,0.001477932991,2615.63307447102,0.001472427089,1438.607084899752,,
0.48643603510772215,0.22941755154450996,486.43603510772215,0.001502898902,2552.487392926421,0.001473632625,1443.325407192431,,
0.48774357020256964,0.22813295608956022,487.74357020256963,0.001524938918,2512.590852249542,0.001483357641,1438.043896335537,,
0.48905116020931516,0.22739014240807479,489.0511602093152,0.001544293479,2484.354768753662,0.001492996862,1433.744171111623,,
0.4903587502160607,0.22708671711318806,490.3587502160607,0.001551603185,2511.614159778347,0.001502711768,1428.642609250834,,
0.4916665032152653,0.22681130577550218,491.66650321526527,0.0015689983,2495.183975364956,0.00150001171,1446.69350518695,,
0.49297436516664844,0.2257838482772404,492.97436516664845,0.001588001685,2472.378810913417,0.00149729713,1468.045243464947,,
0.4942821730777511,0.22528845608762918,494.28217307775105,0.001607258344,2471.813245474574,0.001441517839,1620.368180137231,,
0.49559003502913423,0.22278364557311028,495.59003502913424,0.001643610724,2352.953369234729,0.001483989785,1541.181469060683,,
0.4968977339880583,0.22326999352944105,496.8977339880583,0.001652420911,2384.657401791139,0.001494669217,1532.991886557355,,
0.4982054329469824,0.22301312901116582,498.2054329469824,0.001670739619,2362.126125059365,0.001437217734,1698.134964699442,,
0.49951307699400843,0.22393984260292393,499.51307699400843,0.001687648272,2348.053446412584,0.001414154608,1828.063486879545,,
0.500820612088856,0.22197630925559336,500.82061208885597,0.001706551659,2334.578410723376,0.001424328597,1816.747733889569,,
0.50212831104778,0.22147156360325457,502.12831104778,0.001726973908,2312.878354904124,0.001434813843,1805.395476437599,,
0.5034363909035203,0.22193992537487864,503.4363909035203,0.001743535698,2282.953700282686,0.001444450334,1799.138937416276,,
0.5047440349505464,0.22020503928922555,504.74403495054645,0.00176414997,2319.189721408732,0.001450118609,1802.086735871511,,
0.5060516789975725,0.22189442737362336,506.05167899757254,0.001784330503,2226.061188406589,0.001459316648,1797.318062500826,,
0.5073595958608537,0.2207097521911601,507.3595958608537,0.001784152723,2366.089485858811,0.001474202279,1776.26897467957,,
0.5086671309557012,0.22171945527811465,508.66713095570117,0.001797365032,2372.416910597741,0.001483647352,1770.814723069891,,
0.5099748299146252,0.22270147578245492,509.97482991462516,0.001803879605,2403.238842410039,0.001491401903,1772.976834210613,,
0.5112823650094727,0.22349032114080725,511.28236500947264,0.001809570071,2432.210792994388,0.001498818188,1775.521053488703,,
0.5125900639683967,0.22325166988545084,512.5900639683966,0.00181879555,2447.268014625194,0.001505736735,1780.335340303761,,
0.5138979259197799,0.2244994633702107,513.8979259197799,0.001822983278,2476.275047829603,0.001430358073,1945.908329962473,,
0.5152056248787039,0.22307714138856394,515.2056248787039,0.001831262504,2518.58164417337,0.001509022036,1817.375350660165,,
0.5165132148854494,0.2252607514625436,516.5132148854494,0.00212192922,1433.196711705676,0.00150786136,1852.798310032687,,
0.5178208589324755,0.2255269208684726,517.8208589324755,0.002129916887,1415.58075840145,0.001508714808,1879.75758711764,,
0.5191282850751445,0.22382985552806914,519.1282850751445,0.002138554456,1382.437942811199,0.001507390427,1913.626794622609,,
0.5204357112178135,0.22676483483135826,520.4357112178135,0.002100715453,1275.478424663914,0.001500234623,1969.239065339755,,
0.5217426475114877,0.2258486400010608,521.7426475114877,0.002156102467,1655.095618648185,0.001491348274,2025.564785922332,,
0.5230498557497996,0.227334235524285,523.0498557497996,0.002149139985,1782.921559050347,0.00148495708,2101.731524945689,,
0.5243571729402899,0.2266101149629588,524.35717294029,0.002143591194,1592.495022259752,0.001482721655,2122.302426705312,,
0.5256645450426783,0.2253346377259472,525.6645450426784,0.002142210767,1584.204681006616,0.001485406209,2158.361439731173,,
0.5269719711853473,0.22432540046941232,526.9719711853473,0.002137734387,1479.344318369117,0.001481739356,2076.165608228864,,
0.5282788525671235,0.22558240469101792,528.2788525671235,0.002139168361,1741.788643562938,0.001484759526,2084.33153772837,,
0.5295860608054354,0.22510545389336994,529.5860608054354,0.002125309098,1784.621205773475,0.001480209421,2104.55612736885,,
0.5308930511393901,0.22506854955504754,530.8930511393901,0.002099776324,1807.44023626362,0.001485288561,2105.932931185827,,
0.5321997695287072,0.22579311211609226,532.1997695287072,0.002119286202,1884.343725233088,0.001489544004,2108.847856341557,,
0.5335067058223814,0.2240775751084687,533.5067058223814,0.00210690374,1881.474939820273,0.001495424435,2109.07170199035,,
0.5348140230128717,0.22500396065779255,534.8140230128718,0.002105723582,2062.434563762582,0.001511180365,2092.045330033493,,
