time (s),friction coefficient,time (ms),moving window,SEP,FIM,trial,rock type
0.012464238178955898,0.46191622195926474,12.464238178955897,300,,,LHVR0438,silicate
0.01277840178582139,0.45703525254414407,12.77840178582139,300,,,LHVR0438,silicate
0.013096542147204168,0.46000391959713344,13.096542147204168,300,,,LHVR0438,silicate
0.013418822691372064,0.46759108835563207,13.418822691372064,300,,,LHVR0438,silicate
0.013744862085700135,0.4470271813205496,13.744862085700134,300,,,LHVR0438,silicate
0.014074932710634766,0.451790787731842,14.074932710634766,300,,,LHVR0438,silicate
0.014408707709640294,0.4484565383758874,14.408707709640295,300,,,LHVR0438,silicate
0.014746404987073828,0.4480988793248183,14.746404987073829,300,,,LHVR0438,silicate
0.015087915590756814,0.4510707255531128,15.087915590756813,300,,,LHVR0438,silicate
0.015433348472867807,0.43391400207923075,15.433348472867808,300,,,LHVR0438,silicate
