time (ms),friction coefficient,slip (m),velocity,SEP_300,FIM_300,SEP_500,FIM_500
77.47999995941063,0.33573880827684066,0.019608612990907003,0.5197689018413693,0.000448950066,3386.904240218179,0.000753097242,2935.554415272453
77.51999995938968,0.33574663795271104,0.01962941413094539,0.5200285009596995,0.000447840317,3301.854413627281,0.000757148627,2917.339914912168
77.55999995936872,0.3356945634900613,0.01965022566301898,0.5202883018397275,0.000439491957,3376.899138396652,0.000761146388,2902.236831556731
77.59999995934777,0.33548642707478454,0.01967104759583928,0.5205483205075224,0.000483251841,3040.007435242234,0.000760869048,2952.847569549379
77.63999995932681,0.33811181935532625,0.019691879938720194,0.5208085720228259,0.000480326001,3549.05408222546,0.000756483427,3007.689971073647
77.67999995930586,0.3352473890414615,0.01971272270153728,0.5210690704271839,0.00047764054,3079.58013173275,0.000760101823,3001.830458760534
77.7199999592849,0.33247342795688706,0.019733575894684937,0.5213298286913838,0.000479586266,3163.64852334436,0.00070050637,3081.730847708056
77.75999995926395,0.33611168211404363,0.019754439529031727,0.5215908586697452,0.000431840409,3756.919549474026,0.000703603943,3090.160681145208
77.799999959243,0.33565291554905297,0.019775313625910368,0.5218524219660278,0.000449267425,3475.678845878309,0.000709505273,3055.092993851489
77.83999995922204,0.32930747313053993,0.019796198188011597,0.5221140525307234,0.000452981757,3425.413448685667,0.000736522995,2903.11608953429
77.87999995920109,0.3327751512279072,0.019817093227446816,0.522375985880473,0.000455981143,3410.226759847957,0.000740833377,2893.309978257621
77.91999995918013,0.3327312918975638,0.01983799875661673,0.5226382292478591,0.00045876996,3404.991304366368,0.000752186764,2884.333344755733
77.95999995915918,0.32972894849664225,0.019858914788160237,0.5229007885876671,0.000443618065,3735.173365198808,0.000769489449,2836.358169743381
77.99999995913822,0.32975448968231036,0.01987984133490231,0.5231636685518182,0.000447456574,3712.789067295552,0.000773832519,2798.512035572685
